node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type,projection_id,modeled_int8_weight_bytes,modeled_int8_activation_bytes,modeled_int32_output_bytes,quantization_state,claim_boundary
736,/model/layers.1/mlp/gate_proj/MatMul,,MatMul,1,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9673,31850496,4608,27648,once_per_decode_token,model.onnx_data,1327140352,1327140352,0,0,3,graph-derived,11,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
750,/model/layers.1/mlp/up_proj/MatMul,,MatMul,1,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9674,31850496,4608,27648,once_per_decode_token,model.onnx_data,1358990848,1358990848,1,0,1,graph-derived,12,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
752,/model/layers.1/mlp/down_proj/MatMul,,MatMul,1,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9675,31850496,27648,4608,once_per_decode_token,model.onnx_data,1390841344,1390841344,2,3,3,graph-derived,13,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
782,/model/layers.2/self_attn/q_proj/MatMul,,MatMul,2,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9680,4718592,4608,4096,once_per_decode_token,model.onnx_data,1422701056,1422701056,0,2,2,graph-derived,14,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
806,/model/layers.2/self_attn/k_proj/MatMul,,MatMul,2,attention_projection,k_proj,1152,256,float,onnx::MatMul_9687,1179648,4608,1024,once_per_decode_token,model.onnx_data,1427419648,1427419648,1,0,0,graph-derived,15,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
809,/model/layers.2/self_attn/v_proj/MatMul,,MatMul,2,attention_projection,v_proj,1152,256,float,onnx::MatMul_9688,1179648,4608,1024,once_per_decode_token,model.onnx_data,1428599296,1428599296,2,2,2,graph-derived,16,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1006,/model/layers.2/self_attn/o_proj/MatMul,,MatMul,2,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9715,4718592,4096,4608,once_per_decode_token,model.onnx_data,1429780992,1429780992,3,0,0,graph-derived,17,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1030,/model/layers.2/mlp/gate_proj/MatMul,,MatMul,2,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9720,31850496,4608,27648,once_per_decode_token,model.onnx_data,1434508800,1434508800,0,2,2,graph-derived,18,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1044,/model/layers.2/mlp/up_proj/MatMul,,MatMul,2,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9721,31850496,4608,27648,once_per_decode_token,model.onnx_data,1466359296,1466359296,1,1,0,graph-derived,19,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1046,/model/layers.2/mlp/down_proj/MatMul,,MatMul,2,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9722,31850496,27648,4608,once_per_decode_token,model.onnx_data,1498209792,1498209792,2,0,2,graph-derived,20,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1076,/model/layers.3/self_attn/q_proj/MatMul,,MatMul,3,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9727,4718592,4608,4096,once_per_decode_token,model.onnx_data,1530069504,1530069504,0,0,1,graph-derived,21,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1100,/model/layers.3/self_attn/k_proj/MatMul,,MatMul,3,attention_projection,k_proj,1152,256,float,onnx::MatMul_9734,1179648,4608,1024,once_per_decode_token,model.onnx_data,1534788096,1534788096,1,1,3,graph-derived,22,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1103,/model/layers.3/self_attn/v_proj/MatMul,,MatMul,3,attention_projection,v_proj,1152,256,float,onnx::MatMul_9735,1179648,4608,1024,once_per_decode_token,model.onnx_data,1535967744,1535967744,2,3,1,graph-derived,23,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1300,/model/layers.3/self_attn/o_proj/MatMul,,MatMul,3,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9762,4718592,4096,4608,once_per_decode_token,model.onnx_data,1537149440,1537149440,3,1,3,graph-derived,24,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1324,/model/layers.3/mlp/gate_proj/MatMul,,MatMul,3,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9767,31850496,4608,27648,once_per_decode_token,model.onnx_data,1541877248,1541877248,0,3,1,graph-derived,25,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1338,/model/layers.3/mlp/up_proj/MatMul,,MatMul,3,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9768,31850496,4608,27648,once_per_decode_token,model.onnx_data,1573727744,1573727744,1,2,3,graph-derived,26,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1340,/model/layers.3/mlp/down_proj/MatMul,,MatMul,3,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9769,31850496,27648,4608,once_per_decode_token,model.onnx_data,1605578240,1605578240,2,2,1,graph-derived,27,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1370,/model/layers.4/self_attn/q_proj/MatMul,,MatMul,4,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9774,4718592,4608,4096,once_per_decode_token,model.onnx_data,1637437952,1637437952,0,1,0,graph-derived,28,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1394,/model/layers.4/self_attn/k_proj/MatMul,,MatMul,4,attention_projection,k_proj,1152,256,float,onnx::MatMul_9781,1179648,4608,1024,once_per_decode_token,model.onnx_data,1642156544,1642156544,1,3,2,graph-derived,29,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1397,/model/layers.4/self_attn/v_proj/MatMul,,MatMul,4,attention_projection,v_proj,1152,256,float,onnx::MatMul_9782,1179648,4608,1024,once_per_decode_token,model.onnx_data,1643336192,1643336192,2,1,0,graph-derived,30,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1594,/model/layers.4/self_attn/o_proj/MatMul,,MatMul,4,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9809,4718592,4096,4608,once_per_decode_token,model.onnx_data,1644517888,1644517888,3,3,2,graph-derived,31,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1618,/model/layers.4/mlp/gate_proj/MatMul,,MatMul,4,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9814,31850496,4608,27648,once_per_decode_token,model.onnx_data,1649245696,1649245696,0,0,0,graph-derived,32,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1632,/model/layers.4/mlp/up_proj/MatMul,,MatMul,4,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9815,31850496,4608,27648,once_per_decode_token,model.onnx_data,1681096192,1681096192,1,0,2,graph-derived,33,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1634,/model/layers.4/mlp/down_proj/MatMul,,MatMul,4,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9816,31850496,27648,4608,once_per_decode_token,model.onnx_data,1712946688,1712946688,2,3,0,graph-derived,34,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1664,/model/layers.5/self_attn/q_proj/MatMul,,MatMul,5,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9821,4718592,4608,4096,once_per_decode_token,model.onnx_data,1744806400,1744806400,0,2,3,graph-derived,35,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1688,/model/layers.5/self_attn/k_proj/MatMul,,MatMul,5,attention_projection,k_proj,1152,256,float,onnx::MatMul_9828,1179648,4608,1024,once_per_decode_token,model.onnx_data,1749524992,1749524992,1,0,1,graph-derived,36,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1691,/model/layers.5/self_attn/v_proj/MatMul,,MatMul,5,attention_projection,v_proj,1152,256,float,onnx::MatMul_9829,1179648,4608,1024,once_per_decode_token,model.onnx_data,1750704640,1750704640,2,2,3,graph-derived,37,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1892,/model/layers.5/self_attn/o_proj/MatMul,,MatMul,5,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9856,4718592,4096,4608,once_per_decode_token,model.onnx_data,1751886336,1751886336,3,0,1,graph-derived,38,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1916,/model/layers.5/mlp/gate_proj/MatMul,,MatMul,5,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9861,31850496,4608,27648,once_per_decode_token,model.onnx_data,1756614144,1756614144,0,2,3,graph-derived,39,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1930,/model/layers.5/mlp/up_proj/MatMul,,MatMul,5,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9862,31850496,4608,27648,once_per_decode_token,model.onnx_data,1788464640,1788464640,1,1,1,graph-derived,40,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1932,/model/layers.5/mlp/down_proj/MatMul,,MatMul,5,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9863,31850496,27648,4608,once_per_decode_token,model.onnx_data,1820315136,1820315136,2,0,3,graph-derived,41,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1962,/model/layers.6/self_attn/q_proj/MatMul,,MatMul,6,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9868,4718592,4608,4096,once_per_decode_token,model.onnx_data,1852174848,1852174848,0,0,2,graph-derived,42,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1986,/model/layers.6/self_attn/k_proj/MatMul,,MatMul,6,attention_projection,k_proj,1152,256,float,onnx::MatMul_9875,1179648,4608,1024,once_per_decode_token,model.onnx_data,1856893440,1856893440,1,1,0,graph-derived,43,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
1989,/model/layers.6/self_attn/v_proj/MatMul,,MatMul,6,attention_projection,v_proj,1152,256,float,onnx::MatMul_9876,1179648,4608,1024,once_per_decode_token,model.onnx_data,1858073088,1858073088,2,3,2,graph-derived,44,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2186,/model/layers.6/self_attn/o_proj/MatMul,,MatMul,6,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9903,4718592,4096,4608,once_per_decode_token,model.onnx_data,1859254784,1859254784,3,2,0,graph-derived,45,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2210,/model/layers.6/mlp/gate_proj/MatMul,,MatMul,6,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9908,31850496,4608,27648,once_per_decode_token,model.onnx_data,1863982592,1863982592,0,3,2,graph-derived,46,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2224,/model/layers.6/mlp/up_proj/MatMul,,MatMul,6,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9909,31850496,4608,27648,once_per_decode_token,model.onnx_data,1895833088,1895833088,1,3,0,graph-derived,47,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2226,/model/layers.6/mlp/down_proj/MatMul,,MatMul,6,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9910,31850496,27648,4608,once_per_decode_token,model.onnx_data,1927683584,1927683584,2,2,2,graph-derived,48,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2256,/model/layers.7/self_attn/q_proj/MatMul,,MatMul,7,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9915,4718592,4608,4096,once_per_decode_token,model.onnx_data,1959543296,1959543296,0,1,1,graph-derived,49,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2280,/model/layers.7/self_attn/k_proj/MatMul,,MatMul,7,attention_projection,k_proj,1152,256,float,onnx::MatMul_9922,1179648,4608,1024,once_per_decode_token,model.onnx_data,1964261888,1964261888,1,3,3,graph-derived,50,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2283,/model/layers.7/self_attn/v_proj/MatMul,,MatMul,7,attention_projection,v_proj,1152,256,float,onnx::MatMul_9923,1179648,4608,1024,once_per_decode_token,model.onnx_data,1965441536,1965441536,2,1,1,graph-derived,51,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2480,/model/layers.7/self_attn/o_proj/MatMul,,MatMul,7,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9950,4718592,4096,4608,once_per_decode_token,model.onnx_data,1966623232,1966623232,3,3,3,graph-derived,52,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2504,/model/layers.7/mlp/gate_proj/MatMul,,MatMul,7,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9955,31850496,4608,27648,once_per_decode_token,model.onnx_data,1971351040,1971351040,0,1,1,graph-derived,53,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2518,/model/layers.7/mlp/up_proj/MatMul,,MatMul,7,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9956,31850496,4608,27648,once_per_decode_token,model.onnx_data,2003201536,2003201536,1,0,3,graph-derived,54,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2520,/model/layers.7/mlp/down_proj/MatMul,,MatMul,7,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9957,31850496,27648,4608,once_per_decode_token,model.onnx_data,2035052032,2035052032,2,3,1,graph-derived,55,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2550,/model/layers.8/self_attn/q_proj/MatMul,,MatMul,8,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9962,4718592,4608,4096,once_per_decode_token,model.onnx_data,2066911744,2066911744,0,3,0,graph-derived,56,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2574,/model/layers.8/self_attn/k_proj/MatMul,,MatMul,8,attention_projection,k_proj,1152,256,float,onnx::MatMul_9969,1179648,4608,1024,once_per_decode_token,model.onnx_data,2071630336,2071630336,1,0,2,graph-derived,57,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2577,/model/layers.8/self_attn/v_proj/MatMul,,MatMul,8,attention_projection,v_proj,1152,256,float,onnx::MatMul_9970,1179648,4608,1024,once_per_decode_token,model.onnx_data,2072809984,2072809984,2,2,0,graph-derived,58,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2774,/model/layers.8/self_attn/o_proj/MatMul,,MatMul,8,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9997,4718592,4096,4608,once_per_decode_token,model.onnx_data,2073991680,2073991680,3,0,2,graph-derived,59,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2798,/model/layers.8/mlp/gate_proj/MatMul,,MatMul,8,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_10002,31850496,4608,27648,once_per_decode_token,model.onnx_data,2078719488,2078719488,0,2,0,graph-derived,60,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2812,/model/layers.8/mlp/up_proj/MatMul,,MatMul,8,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_10003,31850496,4608,27648,once_per_decode_token,model.onnx_data,2110569984,2110569984,1,1,2,graph-derived,61,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2814,/model/layers.8/mlp/down_proj/MatMul,,MatMul,8,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_10004,31850496,27648,4608,once_per_decode_token,model.onnx_data,2142420480,2142420480,2,1,0,graph-derived,62,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2844,/model/layers.9/self_attn/q_proj/MatMul,,MatMul,9,attention_projection,q_proj,1152,1024,float,onnx::MatMul_10009,4718592,4608,4096,once_per_decode_token,model.onnx_data,2174280192,2174280192,0,0,3,graph-derived,63,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2868,/model/layers.9/self_attn/k_proj/MatMul,,MatMul,9,attention_projection,k_proj,1152,256,float,onnx::MatMul_10016,1179648,4608,1024,once_per_decode_token,model.onnx_data,2178998784,2178998784,1,2,1,graph-derived,64,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
2871,/model/layers.9/self_attn/v_proj/MatMul,,MatMul,9,attention_projection,v_proj,1152,256,float,onnx::MatMul_10017,1179648,4608,1024,once_per_decode_token,model.onnx_data,2180178432,2180178432,2,0,3,graph-derived,65,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
3068,/model/layers.9/self_attn/o_proj/MatMul,,MatMul,9,attention_projection,o_proj,1024,1152,float,onnx::MatMul_10044,4718592,4096,4608,once_per_decode_token,model.onnx_data,2181360128,2181360128,3,2,1,graph-derived,66,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
3092,/model/layers.9/mlp/gate_proj/MatMul,,MatMul,9,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_10049,31850496,4608,27648,once_per_decode_token,model.onnx_data,2186087936,2186087936,0,3,3,graph-derived,67,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
3106,/model/layers.9/mlp/up_proj/MatMul,,MatMul,9,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_10050,31850496,4608,27648,once_per_decode_token,model.onnx_data,2217938432,2217938432,1,3,1,graph-derived,68,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
