workload,comparison,metric,paired_seed_count,median_effect_pct,min_effect_pct,max_effect_pct,evidence_type,claim_boundary
mixed,S3_vs_S2,remote_weight_bytes,5,-22.596154,-23.853743,-20.247934,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S2,incremental_remote_link_bytes,5,-22.120144,-23.390544,-19.781991,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S1,total_completion_cycles,5,-17.251937,-17.488448,-17.053040,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S1,p95_tile_latency_cycles,5,-19.127900,-19.519953,-17.978731,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S1,p99_tile_latency_cycles,5,-18.707116,-19.521886,-17.639824,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S2,total_completion_cycles,5,0.011143,-0.811391,1.253092,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S2,p95_tile_latency_cycles,5,-2.444638,-3.313835,0.222099,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S2,p99_tile_latency_cycles,5,-1.693006,-2.550793,0.785028,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S2,remote_weight_bytes,5,-35.489791,-38.655462,-33.084517,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
skew,S3_vs_S2,incremental_remote_link_bytes,5,-33.634925,-36.779064,-31.220162,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
