rate_mtps,section,key,result_value,resulting_ini_line,source_kind,source_identity,source_reference,source_column,source_value,source_unit,derivation
800,power,IDD5AB,224,IDD5AB = 224,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,224,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD6x,20,IDD6x = 20,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,20,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,system,channel_size,8192,channel_size = 8192,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,8192,configured,4Gb x8 * 8 devices per 64-bit rank * 2 ranks / 8 = 8192 MiB
800,system,channels,1,channels = 1,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,1,configured,one isolated DRAMsim3 instance per RTL channel
800,system,bus_width,64,bus_width = 64,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,64,configured,locked 64-bit channel bus
800,system,address_mapping,rochrababgco,address_mapping = rochrababgco,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,rochrababgco,configured,locked DRAMsim3 mapping; RTL mapping is independently traced
800,system,queue_structure,PER_BANK,queue_structure = PER_BANK,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,PER_BANK,configured,locked per-bank command queues
800,system,refresh_policy,RANK_LEVEL_STAGGERED,refresh_policy = RANK_LEVEL_STAGGERED,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,RANK_LEVEL_STAGGERED,configured,locked rank-level staggered refresh
800,system,row_buf_policy,OPEN_PAGE,row_buf_policy = OPEN_PAGE,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,OPEN_PAGE,configured,locked open-page policy
800,system,cmd_queue_size,8,cmd_queue_size = 8,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,8,configured,locked command queue capacity
800,system,trans_queue_size,32,trans_queue_size = 32,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,32,configured,locked transaction queue capacity
800,other,epoch_period,400000,epoch_period = 400000,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,other,400000,configured,"floor(1,000,000 ns / tCK) for diagnostic epochs only"
800,other,output_level,1,output_level = 1,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,other,1,configured,locked summary output level
800,derived_validation,ranks,2,channel_size = 8192,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L matched geometry,all rates,"4Gb x8, 64-bit bus, 8192 MiB channel",devices/ranks,8192 MiB / (4Gb * 8 devices / 8 bits) = 2 ranks
800,derived_validation,tRC,21,tRAS = 15; tRP = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRC row",DDR3L-800 non-E timing point,21,CK,validate tRC = tRAS + tRP
1066,dram_structure,protocol,DDR3,protocol = DDR3,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,Description p.1,DDR3L SDRAM,device family,declared,direct protocol family; result DDR3
1066,dram_structure,bankgroups,1,bankgroups = 1,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,DDR3 bankgroups representation,configured,declared,DDR3 has no bank-group address; encode one group; result 1
1066,dram_structure,banks_per_group,8,banks_per_group = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Bank address row",512 Meg x 8,8 banks,declared,direct x8 bank count; result 8
1066,dram_structure,rows,65536,rows = 65536,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Row address row",512 Meg x 8,64K (A[15:0]),declared,64K = 65536 rows; result 65536
1066,dram_structure,columns,1024,columns = 1024,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Column address row",512 Meg x 8,1K (A[9:0]),declared,1K = 1024 columns; result 1024
1066,dram_structure,device_width,8,device_width = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Configuration row",512 Meg x 8,64 Meg x 8 x 8 banks,declared,direct x8 device width; result 8
1066,dram_structure,BL,8,BL = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Features p.1, fixed burst length bullet",all configurations,fixed burst length (BL) of 8,declared,direct BL8 feature; result 8
1066,timing,tCK,1.875,tCK = 1.875,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tCK row",DDR3L-1066 non-E timing point,1.875,ns,direct selected table value
1066,timing,AL,0,AL = 0,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,0,configured,locked additive latency
1066,timing,CL,8,CL = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), CL row",DDR3L-1066 non-E timing point,8,CK,direct selected table value
1066,timing,CWL,6,CWL = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 53 (pp.78–80), CWL row",DDR3L-1066,6,CK,direct supported CWL at selected CL/tCK
1066,timing,tRCD,8,tRCD = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRCD row",DDR3L-1066 non-E timing point,8,CK,direct selected table value
1066,timing,tRP,8,tRP = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRP row",DDR3L-1066 non-E timing point,8,CK,direct selected table value
1066,timing,tRAS,20,tRAS = 20,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRAS row",DDR3L-1066 non-E timing point,20,CK,direct selected table value
1066,timing,tRFC,139,tRFC = 139,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRFC 4Gb row",DDR3L-1066 non-E timing point,139,CK,direct selected table value
1066,timing,tRFC2,139,tRFC2 = 139,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,139,configured,DDR3 has no fine-granularity refresh; copy tRFC
1066,timing,tRFC4,139,tRFC4 = 139,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,139,configured,DDR3 has no fine-granularity refresh; copy tRFC
1066,timing,REFI,4160,REFI = 4160,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), REFI row",DDR3L-1066,7.8,us,7800 ns / tCK; exact integer for locked rational tCK = 4160 CK
1066,timing,tRPRE,0,tRPRE = 0,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,0,configured,DDR3 parser-required non-DDR4 placeholder
1066,timing,tWPRE,0,tWPRE = 0,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,0,configured,DDR3 parser-required non-DDR4 placeholder
1066,timing,tRRD_S,4,tRRD_S = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRRD x4/x8 row",DDR3L-1066 non-E timing point,4,CK,direct selected table value
1066,timing,tRRD_L,4,tRRD_L = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRRD x4/x8 row",DDR3L-1066 non-E timing point,4,CK,direct selected table value
1066,timing,tWTR_S,4,tWTR_S = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWTR_S row",DDR3L-1066,greater of 4 CK or 7.5 ns,CK/ns,"max(4 CK, ceil(7.5 ns / tCK)) = 4 CK"
1066,timing,tWTR_L,4,tWTR_L = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWTR_L row",DDR3L-1066,greater of 4 CK or 7.5 ns,CK/ns,"max(4 CK, ceil(7.5 ns / tCK)) = 4 CK"
1066,timing,tFAW,20,tFAW = 20,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tFAW x4/x8 row",DDR3L-1066 non-E timing point,20,CK,direct selected table value
1066,timing,tWR,8,tWR = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWR row",DDR3L-1066,15,ns,ceil(15 ns / tCK) = 8 CK
1066,timing,tWR2,8,tWR2 = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWR2 row",DDR3L-1066,15,ns,ceil(15 ns / tCK) = 8 CK
1066,timing,tRTP,4,tRTP = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tRTP row",DDR3L-1066,greater of 4 CK or 7.5 ns,CK/ns,"max(4 CK, ceil(7.5 ns / tCK)) = 4 CK"
1066,timing,tCCD_S,4,tCCD_S = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCCD_S row",DDR3L-1066,4,CK,4 CK = 4 CK
1066,timing,tCCD_L,4,tCCD_L = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCCD_L row",DDR3L-1066,4,CK,4 CK = 4 CK
1066,timing,tCKE,3,tCKE = 3,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCKE row",DDR3L-1066,greater of 3 CK or 5.625 ns,CK/ns,"max(3 CK, ceil(rate-specific ns minimum / tCK)) = 3 CK"
1066,timing,tCKESR,4,tCKESR = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCKESR row",DDR3L-1066,tCKE (MIN) + 1 CK,CK,tCKE + 1 CK = 4 CK
1066,timing,tXS,145,tXS = 145,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tXS row",DDR3L-1066,greater of 5 CK or tRFC + 10 ns,CK/ns,"contract-conservative componentwise conversion: max(5 CK, ceil(260 ns / tCK) + ceil(10 ns / tCK)) = 145 CK"
1066,timing,tXP,4,tXP = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tXP row",DDR3L-1066,greater of 3 CK or 7.5 ns,CK/ns,"max(3 CK, ceil(7.5 ns / tCK)) = 4 CK"
1066,timing,tRTRS,1,tRTRS = 1,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,1,configured,DRAMsim3 DDR3 rank-to-rank switch default
1066,power,VDD,1.35,VDD = 1.35,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,1.35,V,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD0,44,IDD0 = 44,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,44,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IPP0,0.0,IPP0 = 0.0,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,power,0.0,configured,DDR3 power-model placeholder unused by DDR3L IDD model
1066,power,IDD2P,18,IDD2P = 18,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,18,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD2N,28,IDD2N = 28,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,28,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD3P,32,IDD3P = 32,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,32,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD3N,32,IDD3N = 32,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,32,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD4W,95,IDD4W = 95,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,95,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD4R,123,IDD4R = 123,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,123,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD5AB,224,IDD5AB = 224,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,224,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,power,IDD6x,20,IDD6x = 20,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,20,mA,direct value; the 800 operating point uses the documented 1066-device limits
1066,system,channel_size,8192,channel_size = 8192,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,8192,configured,4Gb x8 * 8 devices per 64-bit rank * 2 ranks / 8 = 8192 MiB
1066,system,channels,1,channels = 1,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,1,configured,one isolated DRAMsim3 instance per RTL channel
1066,system,bus_width,64,bus_width = 64,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,64,configured,locked 64-bit channel bus
1066,system,address_mapping,rochrababgco,address_mapping = rochrababgco,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,rochrababgco,configured,locked DRAMsim3 mapping; RTL mapping is independently traced
1066,system,queue_structure,PER_BANK,queue_structure = PER_BANK,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,PER_BANK,configured,locked per-bank command queues
1066,system,refresh_policy,RANK_LEVEL_STAGGERED,refresh_policy = RANK_LEVEL_STAGGERED,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,RANK_LEVEL_STAGGERED,configured,locked rank-level staggered refresh
